date,AAPL,GOOGL,MSFT,SPY,EEM,XLF,XLE
2008-09-30 00:00:00+00:00,14.1683132682,200.8800976173,20.4584402376,92.6551222999,27.4960361762,13.1563418143,49.0384019671
2008-10-31 00:00:00+00:00,13.4116560314,180.2363724152,17.1164095356,77.2099439957,20.4631021352,10.2680411944,39.5720059961
2008-11-28 00:00:00+00:00,11.5518000225,146.9335698541,15.6017456757,71.8356279518,18.467486984,8.3866710659,38.8230333948
2008-12-31 00:00:00+00:00,10.6393237501,154.3013133725,14.9998979197,72.5421521639,20.3785469412,8.4177531603,37.07644336
2009-01-30 00:00:00+00:00,11.2351757422,169.7891227564,13.1943546515,66.5853996424,18.4851457036,6.212463195,36.4167201685
2009-02-27 00:00:00+00:00,11.1329584549,169.5182867114,12.550885725,59.4308655748,17.3262535667,5.1098182123,31.925945597
2009-03-31 00:00:00+00:00,13.103757617,174.5688774011,14.2761467968,64.3924111578,20.2479675455,5.9860990564,33.1312242866
2009-04-30 00:00:00+00:00,15.6853673987,198.5980531647,15.7449501417,70.78954456,23.3981954667,7.2906745602,35.721795757
2009-05-29 00:00:00+00:00,16.9294265789,209.260968563,16.3384651741,74.9274371784,27.1278694563,8.3098741725,40.3255221651
2009-06-30 00:00:00+00:00,17.7546441913,211.4477188517,18.5909677926,74.8769753717,26.5164988447,8.1605049388,37.6862623861
2009-07-31 00:00:00+00:00,20.3674177801,222.2109438963,18.3954380515,80.4632293255,29.4371805356,8.8843656279,39.7019480122
2009-08-31 00:00:00+00:00,20.9682559814,231.5497719639,19.3855217192,83.4355073038,29.0504987343,10.0384454058,40.1333204224
2009-09-30 00:00:00+00:00,23.1048465974,248.6926905112,20.2270027837,86.3938991009,32.012316787,10.2340101163,42.4789095022
2009-10-30 00:00:00+00:00,23.4975105671,268.8900377873,21.8077288955,84.7329500037,30.9098622896,9.6243535565,43.5267015949
2009-11-30 00:00:00+00:00,24.9198267239,292.4026188726,23.2291581854,89.9530757378,33.3369076384,10.0422080525,44.7635689524
2009-12-31 00:00:00+00:00,26.2688456065,310.9498724677,24.0742856678,91.668661733,34.4261712045,9.900413261,45.1567929548
2010-01-29 00:00:00+00:00,23.9416571461,265.7924759105,22.2576565,88.3372001392,31.7550321376,9.7491569473,43.1686584115
2010-02-26 00:00:00+00:00,25.50695285,264.2156082712,22.7485155239,91.0928535563,32.3191236175,10.0929212966,44.4676785912
2010-03-31 00:00:00+00:00,29.293978691,284.4380329589,23.238477447,96.6408858857,34.9425637726,10.9914955399,45.7224304191
2010-04-30 00:00:00+00:00,32.5462336019,263.6613974756,24.2283195508,98.1359286502,34.8824216663,11.1362111552,47.6222323784
2010-05-31 00:00:00+00:00,32.02143509,243.5668675868,20.5643430133,90.3385785411,31.6057138046,10.1163106286,42.1692443278
2010-06-30 00:00:00+00:00,31.3545296177,223.1638855358,18.3405245247,85.6641453363,31.1628239933,9.5363856093,39.6690919988
2010-07-30 00:00:00+00:00,32.0675575246,243.1756599664,20.5723136889,91.5150678768,34.5696922112,10.1578734477,42.9908195091
2010-08-31 00:00:00+00:00,30.3036860417,225.7067350687,18.8015882701,87.3986741462,33.4507698063,9.3599521174,40.8828001276
2010-09-30 00:00:00+00:00,35.3709210791,263.7090445575,19.6228807473,95.2255557214,37.3836985579,9.9280770704,44.9704606591
2010-10-29 00:00:00+00:00,37.5187306657,307.8001495749,21.3656233208,98.8633671903,38.51097113,10.0765362381,47.5214072324
2010-11-30 00:00:00+00:00,38.7864743392,278.7153676393,20.3633059394,98.8633671903,37.3920487251,10.0080166223,50.3049872982
2010-12-31 00:00:00+00:00,40.2087904961,297.9046029705,22.5018259436,105.4718143851,40.1107510606,11.0792132798,54.9924729464
2011-01-31 00:00:00+00:00,42.2980121253,301.1094961688,22.3526737472,107.9293286288,38.5683536814,11.3917929649,58.9406504913
2011-02-28 00:00:00+00:00,44.0294732488,307.6496851055,21.5567208805,111.6785056491,38.551515282,11.7043726499,63.2836457906
2011-03-31 00:00:00+00:00,43.4432820369,294.2884402225,20.5916156191,111.6904479994,40.9762447865,11.4141450615,64.4758677225
2011-04-29 00:00:00+00:00,43.6455351451,272.8923926734,21.0214524162,114.9251664572,42.0959983425,11.4071809705,65.0652458738
2011-05-31 00:00:00+00:00,43.3588281196,265.3290453448,20.4157859218,113.6363333217,40.8583759912,11.0311200594,62.3414941703
2011-06-30 00:00:00+00:00,41.8430205414,253.9739933872,21.2239277876,111.7173404117,40.4801097176,10.7278408436,61.1434125109
2011-07-29 00:00:00+00:00,48.6753736139,302.7796517791,22.3667546685,109.4824856819,40.0634027058,10.3399612561,62.0360170731
2011-08-31 00:00:00+00:00,47.9710715731,271.317531227,21.8507597984,103.4636155574,36.3555607233,9.3510430285,55.6985246814
2011-09-30 00:00:00+00:00,47.5335317211,258.3174010706,20.4460680971,96.2781420599,29.845576692,8.2859754099,47.6655877976
2011-10-31 00:00:00+00:00,50.4579433811,297.2375438228,21.8754035124,106.7866268539,34.7099932379,9.4681827397,56.7897474854
